add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000db0
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 000002cd
/dev/input/event3: 0003 0036 00000713
/dev/input/event3: 0003 0030 000000d6
/dev/input/event3: 0003 0031 000000c1
/dev/input/event3: 0003 003a 0000002f
/dev/input/event3: 0003 0034 ffffffad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 00000030
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d7
/dev/input/event3: 0003 0031 000000c2
/dev/input/event3: 0003 003a 00000032
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d8
/dev/input/event3: 0003 0031 000000c3
/dev/input/event3: 0003 003a 00000033
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 00000035
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000da
/dev/input/event3: 0003 0031 000000c5
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000db
/dev/input/event3: 0003 0031 000000c9
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0003 0034 ffffffac
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0003 0034 ffffffad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0036 00000718
/dev/input/event3: 0003 0030 000000dc
/dev/input/event3: 0003 0031 000000ca
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0003 0034 ffffffac
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002ce
/dev/input/event3: 0003 0036 0000071d
/dev/input/event3: 0003 003a 0000003d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0036 00000722
/dev/input/event3: 0003 0030 000000dd
/dev/input/event3: 0003 0031 000000cb
/dev/input/event3: 0003 003a 0000003e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002cf
/dev/input/event3: 0003 0036 0000072a
/dev/input/event3: 0003 003a 0000003f
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002d0
/dev/input/event3: 0003 0036 00000732
/dev/input/event3: 0003 0030 000000de
/dev/input/event3: 0003 0031 000000cc
/dev/input/event3: 0003 003a 00000040
/dev/input/event3: 0003 0034 ffffffab
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002d4
/dev/input/event3: 0003 0036 0000073d
/dev/input/event3: 0003 003a 00000041
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002d8
/dev/input/event3: 0003 0036 0000074a
/dev/input/event3: 0003 0030 000000dd
/dev/input/event3: 0003 0031 000000cb
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002df
/dev/input/event3: 0003 0036 00000759
/dev/input/event3: 0003 0030 000000de
/dev/input/event3: 0003 0031 000000cc
/dev/input/event3: 0003 003a 00000042
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000002e7
/dev/input/event3: 0003 0036 00000767
