add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000db5
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 000003d4
/dev/input/event3: 0003 0036 00000797
/dev/input/event3: 0003 0030 0000009e
/dev/input/event3: 0003 0031 00000078
/dev/input/event3: 0003 003a 00000030
/dev/input/event3: 0003 0034 ffffffa8
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 0000009f
/dev/input/event3: 0003 0031 0000007b
/dev/input/event3: 0003 003a 00000031
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a2
/dev/input/event3: 0003 0031 0000007e
/dev/input/event3: 0003 003a 00000032
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a5
/dev/input/event3: 0003 0031 00000082
/dev/input/event3: 0003 003a 00000033
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a9
/dev/input/event3: 0003 0031 00000083
/dev/input/event3: 0003 003a 00000034
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ad
/dev/input/event3: 0003 0031 00000086
/dev/input/event3: 0003 003a 00000035
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b0
/dev/input/event3: 0003 0031 0000008b
/dev/input/event3: 0003 003a 00000036
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b2
/dev/input/event3: 0003 0031 0000008d
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b5
/dev/input/event3: 0003 0031 00000092
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0003 0034 ffffffa9
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b7
/dev/input/event3: 0003 0031 00000091
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003d0
/dev/input/event3: 0003 0036 0000079b
/dev/input/event3: 0003 0030 000000ba
/dev/input/event3: 0003 0031 00000096
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003c9
/dev/input/event3: 0003 0036 0000079d
/dev/input/event3: 0003 0030 000000bb
/dev/input/event3: 0003 0031 00000097
/dev/input/event3: 0003 003a 0000003a
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003c5
/dev/input/event3: 0003 0036 0000079e
/dev/input/event3: 0003 0030 000000bd
/dev/input/event3: 0003 0031 0000009c
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003bf
/dev/input/event3: 0003 0036 0000079d
/dev/input/event3: 0003 0030 000000c0
/dev/input/event3: 0003 0031 0000009b
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003b9
/dev/input/event3: 0003 0036 0000079c
/dev/input/event3: 0003 0030 000000c3
/dev/input/event3: 0003 0031 000000a0
/dev/input/event3: 0003 003a 0000003d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003b2
/dev/input/event3: 0003 0036 0000079a
/dev/input/event3: 0003 0030 000000c5
