add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000db6
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 000003dd
/dev/input/event3: 0003 0036 000007d3
/dev/input/event3: 0003 0030 000000b5
/dev/input/event3: 0003 0031 0000009e
/dev/input/event3: 0003 003a 00000034
/dev/input/event3: 0003 0034 ffffffb0
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b7
/dev/input/event3: 0003 0031 0000009f
/dev/input/event3: 0003 003a 00000035
/dev/input/event3: 0003 0034 ffffffaf
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ba
/dev/input/event3: 0003 0034 ffffffae
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000bb
/dev/input/event3: 0003 0031 000000a3
/dev/input/event3: 0003 003a 00000036
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000bf
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0003 0034 ffffffad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c0
/dev/input/event3: 0003 0031 000000a4
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c2
/dev/input/event3: 0003 0031 000000a6
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0003 0034 ffffffac
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c3
/dev/input/event3: 0003 0031 000000a7
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 0000003a
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003db
/dev/input/event3: 0003 0036 000007d9
/dev/input/event3: 0003 0030 000000c5
/dev/input/event3: 0003 0031 000000a8
/dev/input/event3: 0003 0034 ffffffab
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003d7
/dev/input/event3: 0003 0036 000007e1
/dev/input/event3: 0003 0030 000000c6
/dev/input/event3: 0003 0031 000000a9
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003d4
/dev/input/event3: 0003 0036 000007e8
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003d0
/dev/input/event3: 0003 0036 000007f2
/dev/input/event3: 0003 0030 000000c8
/dev/input/event3: 0003 0031 000000ab
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0003 0034 ffffffaa
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003cb
/dev/input/event3: 0003 0036 000007ff
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003c5
/dev/input/event3: 0003 0036 0000080d
/dev/input/event3: 0003 003a 0000003d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003bf
/dev/input/event3: 0003 0036 0000081d
/dev/input/event3: 0003 0030 000000ca
/dev/input/event3: 0003 0031 000000a9
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003b7
/dev/input/event3: 0003 0036 0000082f
/dev/input/event3: 0003 0030 000000cb
/dev/input/event3: 0003 0031 000000ae
