add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000db7
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 000003ef
/dev/input/event3: 0003 0036 0000079d
/dev/input/event3: 0003 0030 0000009c
/dev/input/event3: 0003 0031 00000076
/dev/input/event3: 0003 003a 0000002a
/dev/input/event3: 0003 0034 ffffffaa
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 0000009e
/dev/input/event3: 0003 0031 0000007a
/dev/input/event3: 0003 003a 0000002b
/dev/input/event3: 0003 0034 ffffffab
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a1
/dev/input/event3: 0003 0031 0000007f
/dev/input/event3: 0003 003a 0000002c
/dev/input/event3: 0003 0034 ffffffac
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a4
/dev/input/event3: 0003 0031 00000082
/dev/input/event3: 0003 003a 0000002e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000a7
/dev/input/event3: 0003 0031 00000084
/dev/input/event3: 0003 003a 0000002f
/dev/input/event3: 0003 0034 ffffffad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ac
/dev/input/event3: 0003 0031 00000088
/dev/input/event3: 0003 003a 00000030
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000af
/dev/input/event3: 0003 0031 0000008d
/dev/input/event3: 0003 003a 00000032
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b4
/dev/input/event3: 0003 0031 0000008e
/dev/input/event3: 0003 003a 00000033
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003ee
/dev/input/event3: 0003 0036 000007a3
/dev/input/event3: 0003 0030 000000b7
/dev/input/event3: 0003 0031 00000091
/dev/input/event3: 0003 003a 00000034
/dev/input/event3: 0003 0034 ffffffae
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003eb
/dev/input/event3: 0003 0036 000007a9
/dev/input/event3: 0003 0030 000000b8
/dev/input/event3: 0003 0031 00000094
/dev/input/event3: 0003 003a 00000035
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003e8
/dev/input/event3: 0003 0036 000007ac
/dev/input/event3: 0003 0030 000000bb
/dev/input/event3: 0003 0031 00000097
/dev/input/event3: 0003 003a 00000036
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003e3
/dev/input/event3: 0003 0036 000007af
/dev/input/event3: 0003 0030 000000bd
/dev/input/event3: 0003 0031 0000009c
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003dc
/dev/input/event3: 0003 0036 000007b3
/dev/input/event3: 0003 0030 000000bf
/dev/input/event3: 0003 0031 0000009d
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003d3
/dev/input/event3: 0003 0036 000007b7
/dev/input/event3: 0003 0030 000000c2
/dev/input/event3: 0003 0031 000000a0
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000003c9
