add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000db9
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 00000388
/dev/input/event3: 0003 0036 0000090f
/dev/input/event3: 0003 0030 000000ac
/dev/input/event3: 0003 0031 00000098
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0003 0034 ffffffaa
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000af
/dev/input/event3: 0003 0031 0000009b
/dev/input/event3: 0003 0034 ffffffab
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b2
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b5
/dev/input/event3: 0003 0031 0000009e
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0003 0034 ffffffaa
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ba
/dev/input/event3: 0003 0031 0000009f
/dev/input/event3: 0003 003a 0000003a
/dev/input/event3: 0003 0034 ffffffa9
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000bd
/dev/input/event3: 0003 0031 000000a2
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c0
/dev/input/event3: 0003 0031 000000a4
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c3
/dev/input/event3: 0003 0031 000000a7
/dev/input/event3: 0003 003a 0000003d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000385
/dev/input/event3: 0003 0036 0000090c
/dev/input/event3: 0003 0030 000000c6
/dev/input/event3: 0003 0031 000000a9
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000381
/dev/input/event3: 0003 0036 00000908
/dev/input/event3: 0003 0030 000000ca
/dev/input/event3: 0003 003a 0000003e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 0000037e
/dev/input/event3: 0003 0036 00000904
/dev/input/event3: 0003 0030 000000cb
/dev/input/event3: 0003 0031 000000aa
/dev/input/event3: 0003 003a 0000003f
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 0000037b
/dev/input/event3: 0003 0036 00000901
/dev/input/event3: 0003 0030 000000ce
/dev/input/event3: 0003 0031 000000ad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 0000037a
/dev/input/event3: 0003 0036 000008fe
/dev/input/event3: 0003 0030 000000d2
/dev/input/event3: 0003 003a 00000040
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000378
/dev/input/event3: 0003 0036 000008fa
/dev/input/event3: 0003 0031 000000b0
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000377
/dev/input/event3: 0003 0036 000008f6
/dev/input/event3: 0003 0030 000000d3
/dev/input/event3: 0003 0031 000000b1
/dev/input/event3: 0003 003a 00000041
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000378
/dev/input/event3: 0003 0036 000008f1
/dev/input/event3: 0003 0030 000000d4
/dev/input/event3: 0003 0031 000000b2
