add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000dc1
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 00000359
/dev/input/event3: 0003 0036 0000090b
/dev/input/event3: 0003 0030 000000df
/dev/input/event3: 0003 0031 000000d0
/dev/input/event3: 0003 003a 00000049
/dev/input/event3: 0003 0034 00000054
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e0
/dev/input/event3: 0003 0031 000000d1
/dev/input/event3: 0003 003a 0000004a
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e1
/dev/input/event3: 0003 0031 000000d2
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000356
/dev/input/event3: 0003 0036 00000909
/dev/input/event3: 0003 003a 0000004b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000351
/dev/input/event3: 0003 0036 00000907
/dev/input/event3: 0003 0030 000000e2
/dev/input/event3: 0003 0031 000000d0
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 0000034e
/dev/input/event3: 0003 0036 00000905
/dev/input/event3: 0003 0030 000000e3
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 0000034a
/dev/input/event3: 0003 0036 00000903
/dev/input/event3: 0003 003a 0000004c
/dev/input/event3: 0003 0034 00000055
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000347
/dev/input/event3: 0003 0036 00000902
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000344
/dev/input/event3: 0003 0036 00000901
/dev/input/event3: 0003 0030 000000e4
/dev/input/event3: 0003 0031 000000d1
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000343
/dev/input/event3: 0003 0036 00000900
/dev/input/event3: 0003 0030 000000e5
/dev/input/event3: 0003 0031 000000d2
/dev/input/event3: 0003 003a 0000004d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000342
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000341
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 0000004e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e6
/dev/input/event3: 0003 0031 000000d3
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0034 00000054
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0036 00000901
/dev/input/event3: 0003 0034 00000055
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e7
/dev/input/event3: 0003 0031 000000d1
/dev/input/event3: 0003 003a 0000004f
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 00000342
/dev/input/event3: 0003 0031 000000d4
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 00000050
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0034 00000054
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e8
/dev/input/event3: 0003 0031 000000d1
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0036 00000900
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000e9
