add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000dad
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0036 000007d5
/dev/input/event3: 0003 0030 000000a9
/dev/input/event3: 0003 0031 00000098
/dev/input/event3: 0003 003a 0000002d
/dev/input/event3: 0003 0034 00000056
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 003a 0000002e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ac
/dev/input/event3: 0003 0031 0000009b
/dev/input/event3: 0003 003a 0000002f
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b0
/dev/input/event3: 0003 0031 0000009c
/dev/input/event3: 0003 003a 00000031
/dev/input/event3: 0003 0034 00000057
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b4
/dev/input/event3: 0003 0031 000000a0
/dev/input/event3: 0003 003a 00000032
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000b7
/dev/input/event3: 0003 0031 000000a2
/dev/input/event3: 0003 003a 00000033
/dev/input/event3: 0003 0034 00000058
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000bb
/dev/input/event3: 0003 0031 000000a6
/dev/input/event3: 0003 003a 00000035
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000bf
/dev/input/event3: 0003 003a 00000036
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c2
/dev/input/event3: 0003 0031 000000a9
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0003 0034 00000059
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c3
/dev/input/event3: 0003 0031 000000aa
/dev/input/event3: 0003 003a 00000038
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000c6
/dev/input/event3: 0003 0031 000000ac
/dev/input/event3: 0003 003a 0000003a
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000ca
/dev/input/event3: 0003 0031 000000b0
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000cd
/dev/input/event3: 0003 0031 000000b2
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0003 0034 ffffffa6
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001d2
/dev/input/event3: 0003 0036 000007d1
/dev/input/event3: 0003 0030 000000ce
/dev/input/event3: 0003 0031 000000b3
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0036 000007cb
/dev/input/event3: 0003 003a 0000003d
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001d3
/dev/input/event3: 0003 0036 000007c8
/dev/input/event3: 0003 0030 000000d0
/dev/input/event3: 0003 0031 000000b5
/dev/input/event3: 0003 003a 0000003e
/dev/input/event3: 0003 0034 ffffffa7
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001d4
/dev/input/event3: 0003 0036 000007c5
/dev/input/event3: 0003 0030 000000d2
/dev/input/event3: 0003 0031 000000b7
/dev/input/event3: 0003 003a 0000003f
/dev/input/event3: 0000 0000 00000000
