add device 1: /dev/input/event5
  name:     "uinput-fpc"
add device 2: /dev/input/event4
  name:     "uinput-folio"
add device 3: /dev/input/event3
  name:     "touchscreen"
add device 4: /dev/input/event0
  name:     "qpnp_pon"
add device 5: /dev/input/event2
  name:     "gpio-keys"
add device 6: /dev/input/event1
  name:     "STM VL53L0 proximity sensor"
/dev/input/event3: 0003 0039 00000dbe
/dev/input/event3: 0001 014a 00000001
/dev/input/event3: 0001 0145 00000001
/dev/input/event3: 0003 0035 000001bf
/dev/input/event3: 0003 0036 000007c3
/dev/input/event3: 0003 0030 000000c8
/dev/input/event3: 0003 0031 000000b4
/dev/input/event3: 0003 003a 00000032
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000cd
/dev/input/event3: 0003 0031 000000b9
/dev/input/event3: 0003 003a 00000034
/dev/input/event3: 0003 0034 ffffffb1
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d0
/dev/input/event3: 0003 0031 000000bc
/dev/input/event3: 0003 003a 00000036
/dev/input/event3: 0003 0034 ffffffb0
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d2
/dev/input/event3: 0003 0031 000000be
/dev/input/event3: 0003 003a 00000037
/dev/input/event3: 0003 0034 ffffffaf
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d4
/dev/input/event3: 0003 0031 000000bf
/dev/input/event3: 0003 003a 00000039
/dev/input/event3: 0003 0034 ffffffae
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d6
/dev/input/event3: 0003 0031 000000c1
/dev/input/event3: 0003 003a 0000003b
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0030 000000d7
/dev/input/event3: 0003 0031 000000c5
/dev/input/event3: 0003 003a 0000003c
/dev/input/event3: 0003 0034 ffffffad
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001bc
/dev/input/event3: 0003 0036 000007c7
/dev/input/event3: 0003 0030 000000d8
/dev/input/event3: 0003 0031 000000c6
/dev/input/event3: 0003 003a 0000003e
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b8
/dev/input/event3: 0003 0036 000007ca
/dev/input/event3: 0003 0030 000000d9
/dev/input/event3: 0003 0031 000000c7
/dev/input/event3: 0003 003a 0000003f
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b6
/dev/input/event3: 0003 0036 000007cb
/dev/input/event3: 0003 0030 000000da
/dev/input/event3: 0003 0031 000000cc
/dev/input/event3: 0003 003a 00000040
/dev/input/event3: 0003 0034 ffffffac
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b5
/dev/input/event3: 0003 0036 000007cd
/dev/input/event3: 0003 0030 000000db
/dev/input/event3: 0003 0031 000000cd
/dev/input/event3: 0003 003a 00000041
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b4
/dev/input/event3: 0003 0036 000007ce
/dev/input/event3: 0003 0030 000000dc
/dev/input/event3: 0003 0031 000000ce
/dev/input/event3: 0003 003a 00000042
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b3
/dev/input/event3: 0003 0030 000000dd
/dev/input/event3: 0003 003a 00000043
/dev/input/event3: 0000 0000 00000000
/dev/input/event3: 0003 0035 000001b4
/dev/input/event3: 0003 0036 000007cf
/dev/input/event3: 0003 0030 000000de
/dev/input/event3: 0003 0031 000000cf
/dev/input/event3: 0003 003a 00000044
